ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Example_IDs
1-dogr1250,dogr1250,1,ek,,,,dogr1250-oneboy;dogr1250-onesheep;dogr1250-onegirl;dogr1250-onetree;dogr1250-ihaveonebrother;dogr1250-ihaveonesister;dogr1250-ihaveonealmirah;dogr1250-ihaveonebag
1-garh1243,garh1243,1,ek,,,,garh1243-oneboy;garh1243-onesheep;garh1243-onegirl;garh1243-onetree;garh1243-ihaveonebrother;garh1243-ihaveonesister;garh1243-ihaveonealmirah;garh1243-ihaveonebag
1-kuma1273,kuma1273,1,ek,,,,kuma1273-oneboy;kuma1273-onesheep;kuma1273-onegirl;kuma1273-onetree;kuma1273-ihaveonebrother;kuma1273-ihaveonesister;kuma1273-ihaveonealmirah;kuma1273-ihaveonebag
1-gadd1242,gadd1242,1,əkʰ,,,,gadd1242-oneboy;gadd1242-onesheep;gadd1242-onegirl;gadd1242-onetree;gadd1242-ihaveonebrother;gadd1242-ihaveonesister;gadd1242-ihaveonealmirah;gadd1242-ihaveonebag
1-goan1235,goan1235,1,ek,,,,goan1235-oneboy;goan1235-onesheep;goan1235-onegirl;goan1235-onetree;goan1235-ihaveonebrother;goan1235-ihaveonesister;goan1235-ihaveonealmirah;goan1235-ihaveonebag
1-nepa1254,nepa1254,1,ek,,,,nepa1254-oneboy;nepa1254-onesheep;nepa1254-onegirl;nepa1254-onetree;nepa1254-ihaveonebrother;nepa1254-ihaveonesister;nepa1254-ihaveonealmirah;nepa1254-ihaveonebag
1-kudm1238,kudm1238,1,ənɑ,,,,kudm1238-oneboy;kudm1238-onesheep;kudm1238-onegirl;kudm1238-onetree;kudm1238-ihaveonebrother;kudm1238-ihaveonesister;kudm1238-ihaveonealmirah;kudm1238-ihaveonebag
1-beng1280,beng1280,1,ɛk,,,,beng1280-oneboy;beng1280-onesheep;beng1280-onegirl;beng1280-onetree;beng1280-ihaveonebrother;beng1280-ihaveonesister;beng1280-ihaveonealmirah;beng1280-ihaveonebag
1-assa1263,assa1263,1,ɛk,,,,assa1263-oneboy;assa1263-onesheep;assa1263-onegirl;assa1263-onetree;assa1263-ihaveonebrother;assa1263-ihaveonesister;assa1263-ihaveonealmirah;assa1263-ihaveonebag
1-marw1260,marw1260,1,ek,,,,marw1260-oneboy;marw1260-onesheep;marw1260-onegirl;marw1260-onetree;marw1260-ihaveonebrother;marw1260-ihaveonesister;marw1260-ihaveonealmirah;marw1260-ihaveonebag
1-panj1256,panj1256,1,ik,,,,panj1256-oneboy;panj1256-onesheep;panj1256-onegirl;panj1256-onetree;panj1256-ihaveonebrother;panj1256-ihaveonesister;panj1256-ihaveonealmirah;panj1256-ihaveonebag
